+------------------------------------+-------+---------+-----------+
| Material List for schematic 'YAMS V2 Deco' (2 of 2 regions)      |
+------------------------------------+-------+---------+-----------+
| Item                               | Total | Missing | Available |
| Chiseled Quartz Block              |     2 |       2 |         0 |
| Dark Oak Stairs                    |     2 |       2 |         0 |
| Lava Bucket                        |     2 |       2 |         0 |
| Mangrove Fence Gate                |     2 |       2 |         0 |
| Oak Log                            |     2 |       2 |         0 |
| Oak Planks                         |     2 |       2 |         0 |
| Oak Pressure Plate                 |     2 |       2 |         0 |
| Powder Snow Bucket                 |     2 |       2 |         0 |
| Spruce Slab                        |     2 |       2 |         0 |
| Stonecutter                        |     2 |       2 |         0 |
| Tripwire Hook                      |     2 |       2 |         0 |
| Acacia Fence                       |     1 |       1 |         0 |
| Acacia Fence Gate                  |     1 |       1 |         0 |
| Acacia Planks                      |     1 |       1 |         0 |
| Acacia Stairs                      |     1 |       1 |         0 |
| Acacia Wood                        |     1 |       1 |         0 |
| Activator Rail                     |     1 |       1 |         0 |
| Ancient Debris                     |     1 |       1 |         0 |
| Andesite                           |     1 |       1 |         0 |
| Andesite Slab                      |     1 |       1 |         0 |
| Andesite Stairs                    |     1 |       1 |         0 |
| Andesite Wall                      |     1 |       1 |         0 |
| Bamboo                             |     1 |       1 |         0 |
| Basalt                             |     1 |       1 |         0 |
| Beehive                            |     1 |       1 |         0 |
| Birch Log                          |     1 |       1 |         0 |
| Birch Wood                         |     1 |       1 |         0 |
| Black Carpet                       |     1 |       1 |         0 |
| Black Concrete Powder              |     1 |       1 |         0 |
| Black Glazed Terracotta            |     1 |       1 |         0 |
| Black Stained Glass                |     1 |       1 |         0 |
| Black Stained Glass Pane           |     1 |       1 |         0 |
| Black Terracotta                   |     1 |       1 |         0 |
| Blackstone Slab                    |     1 |       1 |         0 |
| Blackstone Stairs                  |     1 |       1 |         0 |
| Block of Amethyst                  |     1 |       1 |       154 |
| Block of Coal                      |     1 |       1 |         0 |
| Block of Emerald                   |     1 |       1 |         0 |
| Block of Lapis Lazuli              |     1 |       1 |         0 |
| Block of Quartz                    |     1 |       1 |         0 |
| Block of Raw Copper                |     1 |       1 |         0 |
| Block of Raw Iron                  |     1 |       1 |         0 |
| Blue Carpet                        |     1 |       1 |         0 |
| Blue Concrete                      |     1 |       1 |         0 |
| Blue Concrete Powder               |     1 |       1 |         0 |
| Blue Glazed Terracotta             |     1 |       1 |         0 |
| Blue Ice                           |     1 |       1 |         0 |
| Blue Stained Glass Pane            |     1 |       1 |         0 |
| Blue Terracotta                    |     1 |       1 |         0 |
| Blue Wool                          |     1 |       1 |         0 |
| Bookshelf                          |     1 |       1 |         0 |
| Brain Coral Fan                    |     1 |       1 |         0 |
| Brick Slab                         |     1 |       1 |         0 |
| Brick Wall                         |     1 |       1 |         0 |
| Brown Carpet                       |     1 |       1 |         0 |
| Brown Concrete                     |     1 |       1 |         0 |
| Brown Concrete Powder              |     1 |       1 |         0 |
| Brown Glazed Terracotta            |     1 |       1 |         0 |
| Brown Mushroom                     |     1 |       1 |         0 |
| Brown Stained Glass                |     1 |       1 |         0 |
| Brown Stained Glass Pane           |     1 |       1 |         0 |
| Brown Terracotta                   |     1 |       1 |         0 |
| Brown Wool                         |     1 |       1 |         0 |
| Bubble Coral Fan                   |     1 |       1 |         0 |
| Cake                               |     1 |       1 |         0 |
| Calcite                            |     1 |       1 |       378 |
| Campfire                           |     1 |       1 |         0 |
| Cartography Table                  |     1 |       1 |         0 |
| Cherry Fence                       |     1 |       1 |         0 |
| Cherry Fence Gate                  |     1 |       1 |         0 |
| Cherry Wood                        |     1 |       1 |         0 |
| Chiseled Nether Bricks             |     1 |       1 |         0 |
| Chiseled Red Sandstone             |     1 |       1 |         0 |
| Chiseled Sandstone                 |     1 |       1 |         0 |
| Clay                               |     1 |       1 |         0 |
| Coarse Dirt                        |     1 |       1 |         0 |
| Cobbled Deepslate                  |     1 |       1 |         0 |
| Cobbled Deepslate Slab             |     1 |       1 |         0 |
| Cobbled Deepslate Wall             |     1 |       1 |         0 |
| Cobblestone                        |     1 |       1 |         0 |
| Cobblestone Slab                   |     1 |       1 |         0 |
| Cobblestone Stairs                 |     1 |       1 |         0 |
| Cobblestone Wall                   |     1 |       1 |         0 |
| Cracked Deepslate Bricks           |     1 |       1 |         0 |
| Cracked Deepslate Tiles            |     1 |       1 |         0 |
| Cracked Nether Bricks              |     1 |       1 |         0 |
| Cracked Polished Blackstone Bricks |     1 |       1 |         0 |
| Cracked Stone Bricks               |     1 |       1 |         0 |
| Crimson Fungus                     |     1 |       1 |         0 |
| Crimson Hyphae                     |     1 |       1 |         0 |
| Crimson Nylium                     |     1 |       1 |         0 |
| Crying Obsidian                    |     1 |       1 |         0 |
| Cut Red Sandstone                  |     1 |       1 |         0 |
| Cut Red Sandstone Slab             |     1 |       1 |         0 |
| Cut Sandstone                      |     1 |       1 |         0 |
| Cut Sandstone Slab                 |     1 |       1 |         0 |
| Cyan Carpet                        |     1 |       1 |         0 |
| Cyan Concrete Powder               |     1 |       1 |         0 |
| Cyan Glazed Terracotta             |     1 |       1 |         0 |
| Cyan Stained Glass Pane            |     1 |       1 |         0 |
| Cyan Terracotta                    |     1 |       1 |         0 |
| Cyan Wool                          |     1 |       1 |         0 |
| Dark Oak Fence                     |     1 |       1 |         0 |
| Dark Oak Fence Gate                |     1 |       1 |         0 |
| Dark Oak Log                       |     1 |       1 |         0 |
| Dark Oak Planks                    |     1 |       1 |         0 |
| Dark Oak Wood                      |     1 |       1 |         0 |
| Dark Prismarine Stairs             |     1 |       1 |         0 |
| Dead Brain Coral Fan               |     1 |       1 |         0 |
| Dead Bubble Coral Fan              |     1 |       1 |         0 |
| Dead Fire Coral Fan                |     1 |       1 |         0 |
| Dead Horn Coral Fan                |     1 |       1 |         0 |
| Dead Tube Coral Fan                |     1 |       1 |         0 |
| Deepslate                          |     1 |       1 |         0 |
| Deepslate Brick Wall               |     1 |       1 |         0 |
| Detector Rail                      |     1 |       1 |         0 |
| Diorite                            |     1 |       1 |         0 |
| Diorite Slab                       |     1 |       1 |         0 |
| Diorite Stairs                     |     1 |       1 |         0 |
| Diorite Wall                       |     1 |       1 |         0 |
| Dirt                               |     1 |       1 |        82 |
| End Stone                          |     1 |       1 |         0 |
| End Stone Brick Slab               |     1 |       1 |         0 |
| End Stone Brick Stairs             |     1 |       1 |         0 |
| End Stone Bricks                   |     1 |       1 |         0 |
| Fire Coral Fan                     |     1 |       1 |         0 |
| Gilded Blackstone                  |     1 |       1 |         0 |
| Glass                              |     1 |       1 |         0 |
| Glass Pane                         |     1 |       1 |         0 |
| Glow Lichen                        |     1 |       1 |         0 |
| Granite Slab                       |     1 |       1 |         0 |
| Granite Wall                       |     1 |       1 |         0 |
| Grass Block                        |     1 |       1 |         0 |
| Gravel                             |     1 |       1 |         4 |
| Gray Carpet                        |     1 |       1 |         0 |
| Gray Concrete                      |     1 |       1 |         0 |
| Gray Concrete Powder               |     1 |       1 |         0 |
| Gray Glazed Terracotta             |     1 |       1 |         0 |
| Gray Terracotta                    |     1 |       1 |         0 |
| Gray Wool                          |     1 |       1 |         0 |
| Green Carpet                       |     1 |       1 |         0 |
| Green Stained Glass Pane           |     1 |       1 |         0 |
| Green Terracotta                   |     1 |       1 |         0 |
| Green Wool                         |     1 |       1 |         0 |
| Grindstone                         |     1 |       1 |         0 |
| Heavy Weighted Pressure Plate      |     1 |       1 |         0 |
| Honeycomb Block                    |     1 |       1 |         0 |
| Horn Coral Fan                     |     1 |       1 |         0 |
| Iron Bars                          |     1 |       1 |         0 |
| Iron Chain                         |     1 |       1 |         0 |
| Jack o'Lantern                     |     1 |       1 |         0 |
| Jungle Fence                       |     1 |       1 |         0 |
| Jungle Fence Gate                  |     1 |       1 |         0 |
| Jungle Planks                      |     1 |       1 |         0 |
| Jungle Slab                        |     1 |       1 |         0 |
| Jungle Wood                        |     1 |       1 |         0 |
| Lectern                            |     1 |       1 |         0 |
| Light Blue Carpet                  |     1 |       1 |         0 |
| Light Blue Concrete                |     1 |       1 |         0 |
| Light Blue Concrete Powder         |     1 |       1 |         0 |
| Light Blue Glazed Terracotta       |     1 |       1 |         0 |
| Light Blue Stained Glass           |     1 |       1 |         0 |
| Light Blue Stained Glass Pane      |     1 |       1 |         0 |
| Light Blue Terracotta              |     1 |       1 |         0 |
| Light Blue Wool                    |     1 |       1 |         0 |
| Light Gray Carpet                  |     1 |       1 |         0 |
| Light Gray Concrete                |     1 |       1 |         0 |
| Light Gray Concrete Powder         |     1 |       1 |         0 |
| Light Gray Glazed Terracotta       |     1 |       1 |         0 |
| Light Gray Stained Glass           |     1 |       1 |         0 |
| Light Gray Stained Glass Pane      |     1 |       1 |         0 |
| Light Gray Terracotta              |     1 |       1 |         0 |
| Light Weighted Pressure Plate      |     1 |       1 |         0 |
| Lime Carpet                        |     1 |       1 |         0 |
| Lime Concrete                      |     1 |       1 |         0 |
| Lime Concrete Powder               |     1 |       1 |         0 |
| Lime Glazed Terracotta             |     1 |       1 |         0 |
| Lime Stained Glass Pane            |     1 |       1 |         0 |
| Lime Terracotta                    |     1 |       1 |         0 |
| Lime Wool                          |     1 |       1 |         0 |
| Loom                               |     1 |       1 |         0 |
| Magenta Concrete                   |     1 |       1 |         0 |
| Magenta Concrete Powder            |     1 |       1 |         0 |
| Magenta Glazed Terracotta          |     1 |       1 |         0 |
| Magenta Stained Glass              |     1 |       1 |         0 |
| Magenta Stained Glass Pane         |     1 |       1 |         0 |
| Magenta Terracotta                 |     1 |       1 |         0 |
| Magenta Wool                       |     1 |       1 |         0 |
| Magma Block                        |     1 |       1 |         0 |
| Mangrove Fence                     |     1 |       1 |         0 |
| Mangrove Slab                      |     1 |       1 |         0 |
| Mangrove Wood                      |     1 |       1 |         0 |
| Mud                                |     1 |       1 |         0 |
| Mycelium                           |     1 |       1 |         0 |
| Nether Brick Slab                  |     1 |       1 |         0 |
| Nether Brick Wall                  |     1 |       1 |         0 |
| Nether Bricks                      |     1 |       1 |         0 |
| Nether Wart Block                  |     1 |       1 |         0 |
| Oak Wood                           |     1 |       1 |         0 |
| Orange Carpet                      |     1 |       1 |         0 |
| Orange Concrete                    |     1 |       1 |         0 |
| Orange Concrete Powder             |     1 |       1 |         0 |
| Orange Glazed Terracotta           |     1 |       1 |         0 |
| Orange Stained Glass               |     1 |       1 |         0 |
| Orange Stained Glass Pane          |     1 |       1 |         0 |
| Orange Terracotta                  |     1 |       1 |         0 |
| Orange Wool                        |     1 |       1 |         0 |
| Oxidized Copper Bulb               |     1 |       1 |         0 |
| Pink Concrete Powder               |     1 |       1 |         0 |
| Pink Glazed Terracotta             |     1 |       1 |         0 |
| Pink Stained Glass Pane            |     1 |       1 |         0 |
| Pink Terracotta                    |     1 |       1 |         0 |
| Pink Wool                          |     1 |       1 |         0 |
| Podzol                             |     1 |       1 |         0 |
| Polished Andesite                  |     1 |       1 |         0 |
| Polished Andesite Slab             |     1 |       1 |         0 |
| Polished Andesite Stairs           |     1 |       1 |         0 |
| Polished Blackstone Brick Slab     |     1 |       1 |         0 |
| Polished Blackstone Brick Stairs   |     1 |       1 |         0 |
| Polished Blackstone Brick Wall     |     1 |       1 |         0 |
| Polished Blackstone Bricks         |     1 |       1 |         0 |
| Polished Blackstone Button         |     1 |       1 |         0 |
| Polished Blackstone Pressure Plate |     1 |       1 |         0 |
| Polished Blackstone Wall           |     1 |       1 |         0 |
| Polished Deepslate Wall            |     1 |       1 |         0 |
| Polished Diorite                   |     1 |       1 |         0 |
| Polished Diorite Slab              |     1 |       1 |         0 |
| Polished Diorite Stairs            |     1 |       1 |         0 |
| Polished Granite                   |     1 |       1 |         0 |
| Poppy                              |     1 |       1 |         0 |
| Prismarine                         |     1 |       1 |         0 |
| Prismarine Brick Stairs            |     1 |       1 |         0 |
| Prismarine Bricks                  |     1 |       1 |         0 |
| Prismarine Slab                    |     1 |       1 |         0 |
| Prismarine Stairs                  |     1 |       1 |         0 |
| Prismarine Wall                    |     1 |       1 |         0 |
| Pumpkin                            |     1 |       1 |         0 |
| Purple Carpet                      |     1 |       1 |         0 |
| Purple Concrete Powder             |     1 |       1 |         0 |
| Purple Stained Glass Pane          |     1 |       1 |         0 |
| Purple Terracotta                  |     1 |       1 |         0 |
| Purple Wool                        |     1 |       1 |         0 |
| Purpur Pillar                      |     1 |       1 |         0 |
| Quartz Bricks                      |     1 |       1 |         0 |
| Quartz Pillar                      |     1 |       1 |         0 |
| Quartz Slab                        |     1 |       1 |         0 |
| Quartz Stairs                      |     1 |       1 |         0 |
| Red Carpet                         |     1 |       1 |         0 |
| Red Concrete Powder                |     1 |       1 |         0 |
| Red Glazed Terracotta              |     1 |       1 |         0 |
| Red Mushroom                       |     1 |       1 |         0 |
| Red Nether Brick Slab              |     1 |       1 |         0 |
| Red Nether Brick Wall              |     1 |       1 |         0 |
| Red Sand                           |     1 |       1 |         0 |
| Red Sandstone                      |     1 |       1 |         0 |
| Red Sandstone Slab                 |     1 |       1 |         0 |
| Red Sandstone Stairs               |     1 |       1 |         0 |
| Red Sandstone Wall                 |     1 |       1 |         0 |
| Red Stained Glass Pane             |     1 |       1 |         0 |
| Red Terracotta                     |     1 |       1 |         0 |
| Red Wool                           |     1 |       1 |         0 |
| Rooted Dirt                        |     1 |       1 |         0 |
| Sandstone Slab                     |     1 |       1 |         0 |
| Sandstone Wall                     |     1 |       1 |         0 |
| Sculk                              |     1 |       1 |         0 |
| Smithing Table                     |     1 |       1 |         0 |
| Smoker                             |     1 |       1 |         0 |
| Smooth Basalt                      |     1 |       1 |         0 |
| Smooth Quartz Block                |     1 |       1 |         0 |
| Smooth Quartz Slab                 |     1 |       1 |         0 |
| Smooth Quartz Stairs               |     1 |       1 |         0 |
| Smooth Red Sandstone               |     1 |       1 |         0 |
| Smooth Red Sandstone Slab          |     1 |       1 |         0 |
| Smooth Red Sandstone Stairs        |     1 |       1 |         0 |
| Smooth Sandstone                   |     1 |       1 |         0 |
| Smooth Sandstone Slab              |     1 |       1 |         0 |
| Smooth Stone                       |     1 |       1 |         0 |
| Soul Campfire                      |     1 |       1 |         0 |
| Soul Torch                         |     1 |       1 |         0 |
| Sponge                             |     1 |       1 |         0 |
| Spruce Fence Gate                  |     1 |       1 |         0 |
| Spruce Log                         |     1 |       1 |         0 |
| Spruce Planks                      |     1 |       1 |         0 |
| Spruce Stairs                      |     1 |       1 |         0 |
| Spruce Wood                        |     1 |       1 |         0 |
| Stone Pressure Plate               |     1 |       1 |         0 |
| Stone Slab                         |     1 |       1 |         0 |
| Stone Stairs                       |     1 |       1 |         0 |
| Stripped Acacia Log                |     1 |       1 |         0 |
| Stripped Acacia Wood               |     1 |       1 |         0 |
| Stripped Birch Log                 |     1 |       1 |         0 |
| Stripped Birch Wood                |     1 |       1 |         0 |
| Stripped Cherry Log                |     1 |       1 |         0 |
| Stripped Cherry Wood               |     1 |       1 |         0 |
| Stripped Crimson Hyphae            |     1 |       1 |         0 |
| Stripped Dark Oak Wood             |     1 |       1 |         0 |
| Stripped Jungle Wood               |     1 |       1 |         0 |
| Stripped Mangrove Wood             |     1 |       1 |         0 |
| Stripped Oak Wood                  |     1 |       1 |         0 |
| Stripped Spruce Log                |     1 |       1 |         0 |
| Stripped Spruce Wood               |     1 |       1 |         0 |
| Stripped Warped Hyphae             |     1 |       1 |         0 |
| TNT                                |     1 |       1 |         0 |
| Terracotta                         |     1 |       1 |         0 |
| Tinted Glass                       |     1 |       1 |         0 |
| Torch                              |     1 |       1 |         0 |
| Trapped Chest                      |     1 |       1 |         0 |
| Tuff Brick Slab                    |     1 |       1 |         0 |
